"","MCF7_LTED_r1","MCF7_LTED_r2","MCF7_LTED_r3","MCF7_TAMR_r1","MCF7_TAMR_r2","MCF7_TAMR_r3","MCF7_WT_r1","MCF7_WT_r2","MCF7_WT_r3"
"P53814_SMTN",19.1020174376073,19.1032707420295,18.8647627955722,19.0451672861181,19.168681599199,19.2905057613374,18.3784329267303,18.7647696703628,18.9119052140738
"P53985_SLC16A1",17.0183294260085,17.2187966734289,17.1570074662418,17.7724239259212,18.0391277310572,17.8998413354292,18.7328574049865,18.9308607923714,18.9020928981209
"P53990_IST1",21.0910106332176,21.253029837157,21.0884454285163,20.7899823576226,20.9408021472775,20.88583897642,20.7603631280408,20.7943779664806,20.8162571548066
"P53992_SEC24C",21.3692572848913,21.4113115360492,21.4152078311279,21.3980706588016,21.5532211098075,21.3139642344018,21.5318909604181,21.7750751222622,21.4243265436154
"P53999_SUB1",24.126791734303,24.2794350306148,24.1424091565959,24.4918400972999,24.4356407590057,24.4413944979228,24.0179662483554,24.2399800581592,23.6455308484414
"P54098_POLG",18.5126918386274,18.4777260142308,18.4995575719809,18.9228389935579,19.1323713636127,18.9857499789172,18.8163853780677,19.0865691003895,18.6697530233446
"P54105_CLNS1A",22.017289445456,21.571471373172,21.9004350137376,22.4634053671218,22.2716844548359,22.2264196919108,22.4788874556877,22.2994411367346,21.8367471520762
"P54132_BLM",16.7814151958708,16.4831411438413,16.7964725350601,16.8951848065122,16.5091010399256,16.824447960142,17.0645281260551,16.8235304017278,17.1090246902004
"P54136_RARS1",22.8845557593202,22.9057849250193,22.917923137605,23.0582276744216,23.1085745494937,23.0656297473489,23.1068376603121,23.2064635500661,23.2417802961786
"P54198_HIRA",18.1497899487088,18.214427535413,18.2504982926962,18.3184384434104,18.4164877286059,18.2948450409633,18.2554499339185,18.2547721448299,18.3806001570517
"P54252_ATXN3",18.9047313141942,18.6943712750177,19.1291052322017,18.7645588673596,18.8532360686259,18.9672827685734,19.0446478332107,18.9959176530257,18.9920719094593
"P54259_ATN1",17.2280544459302,17.131007279156,17.2139996027213,18.2216609598316,18.0343113693185,18.2704772593297,17.5070990678122,17.3434563019663,17.4053383158678
"P54277_PMS1",17.2767740756626,17.1734567519132,17.2406568262051,17.4598225736603,17.3805340145093,17.5293408715592,17.0650228096674,16.9942350678298,17.0712092934399
"P54278_PMS2",17.5054761809024,17.5143510017501,17.4346055204952,17.2130635659317,17.1684723011466,17.2386641795519,17.7153775856153,17.6405310122298,17.921312333747
"P54284_CACNB3",16.5305280359623,16.6550400970835,16.4395647836311,16.4183594283578,16.221066435031,16.4093404929621,16.3168457384682,16.1187124877095,16.2795777780914
"P54577_YARS1",22.5888792162472,22.5900668136293,22.8285010688449,22.5711545203251,22.671011736174,22.6042656046873,22.5727008573432,22.741058079594,22.6406942544704
"P54578_USP14",23.3499080907788,23.1930588510615,23.3879912384208,23.2350137427494,23.1438383757585,23.1618808474351,23.1738110697263,23.1044857054876,23.1607646740561
"P54619_PRKAG1",20.93676983117,21.0537288892205,20.9806481588264,20.4145087759134,20.2767417157585,20.2607111234929,20.0601875706506,20.0259029245227,19.9320562707146
"P54652_HSPA2",19.9837078287986,20.0313323088927,19.9718212625288,18.171354598477,17.9524373105119,18.1000294072124,19.5513032337539,19.1075639841245,19.5019458662306
"P54709_ATP1B3",21.4486085233283,21.4625634476036,21.3559436942462,21.5457524917815,21.5514559850987,21.6302837817094,20.6769673650535,20.560615827719,20.2042869601089
"P54725_RAD23A",19.7805493165375,19.6982626957106,19.6974252824846,19.3868312451685,19.6177623209905,19.5470028572622,19.1003077719967,19.1998233150991,19.368461687509
"P54727_RAD23B",22.1515859794276,22.3713983494187,22.2901927638088,23.3412893109749,23.2986855111507,23.3827453611321,22.850231231803,22.8748274819026,22.7707734519693
"P54753_EPHB3",18.1824252056776,18.4079548122555,18.1594210979235,17.544321626422,17.316815803059,17.3625009256451,17.8821434040843,17.7782834563705,17.6259042038212
"P54756_EPHA5",15.7380221978621,16.1567044597208,16.2926399152657,NA,19.427157502994,NA,15.9884951169048,NA,15.8944389884919
"P54760_EPHB4",18.438712790012,18.6153270472288,18.5430063106571,17.7291509559264,17.6444352120515,17.8723749682412,18.2980794756318,18.0886942989155,18.3696068831497
"P54764_EPHA4",16.6474560016294,16.8251374466405,16.94845137558,15.6415632528114,NA,NA,17.4806757162695,17.3073865231375,17.0152372328168
"P54802_NAGLU",18.8504213573573,18.8143900551049,18.7451788334885,19.0272585882841,19.1576914504809,19.0861036882701,18.7926838906515,18.8367487603478,18.3838439974825
"P54803_GALC",18.0600873857616,17.9757779251069,18.0926516101148,16.7055521001113,17.2842301535795,16.9419661140266,17.7682292066146,18.3916381544874,17.6596894266594
"P54819_AK2",23.4034862180979,23.3458707899084,23.396481863888,23.7162969192496,23.8890609619534,23.8075275919165,23.3278583767631,23.4264366180012,23.2893131611676
"P54886_ALDH18A1",23.1220305887541,23.1692213068319,23.1295039040831,23.4755748103889,23.4341555242439,23.4818586123853,22.8305071596013,22.8642081121248,22.8109299300882
"P54920_NAPA",22.7070329258919,22.6403704559915,22.7378122228082,22.2280347370292,22.2310073929432,22.0738919833457,22.0891268864208,22.2876325172829,22.2951612056842
"P55010_EIF5",23.5676337232122,23.396572135709,23.5893313549025,23.0056365991335,22.8679888557101,22.956857295563,23.0649002519517,22.9931228720701,23.1721572602228
"P55011_SLC12A2",21.53551939282,21.3737074839055,21.5166238782765,21.3793748353543,21.4684034765942,21.3282158628184,20.1132728104564,20.2766671742844,20.1959880811731
"P55036_PSMD4",23.0150810088624,23.0275576778831,23.1520648560137,23.0060984570986,23.0199828743085,23.0863680038455,23.1500103727353,23.0326991955861,22.88895319607
"P55039_DRG2",20.4021816536324,20.361216753899,20.3579639067756,20.1869327969313,20.2762224127178,20.3047916977394,20.2215711662553,20.2087329831643,20.1411576014045
"P55055_NR1H2",15.4142852416202,15.2842161345369,15.356582932084,NA,15.4020827158684,15.3658542951288,15.1869881277895,NA,15.2606596868154
"P55060_CSE1L",24.0700463129229,24.1016192624543,24.0484709297958,24.2938049285143,24.056907239624,24.1479064574613,24.475001847272,24.3879797851279,24.1533396753702
"P55061_TMBIM6",19.649625385643,19.654495771331,19.4303962932179,19.7496114061735,19.92427834348,19.609248549912,19.5782509642007,19.6789011799164,19.3543411666493
"P55072_VCP",24.2668048520005,24.4713610246675,24.3434584481695,24.4418550071036,24.3173696957876,24.4024846124966,24.571786041795,24.5658574744942,24.0545428644802
"P55081_MFAP1",19.4460434859008,19.7506420580836,19.5870928801349,19.571816381176,19.431260261827,19.6352832931431,19.6373447851499,19.6953273957866,19.6581883574882
"P55082_MFAP3",NA,NA,15.6992817746022,NA,NA,15.8067779406211,15.7293506861841,16.0943000703768,16.6083806711084
"P55084_HADHB",22.8075942099609,22.8050075555045,22.8308299093555,22.6465282326984,22.8638218759234,22.7245046833932,23.3771623368192,23.501183087917,23.3922366283588
"P55145_MANF",21.2490082295468,21.1890099391467,21.2683213370036,21.023664481891,21.1033058016862,21.1221286065889,21.2709225066702,21.2243981838976,21.4669429528769
"P55196_AFDN",19.6181675697881,19.6577277683178,19.6710824034882,19.1205646434374,19.2226578398472,19.2183927628496,19.3263363777746,19.3526398141477,19.2450292556585
"P55197_MLLT10",NA,NA,15.056356007539,15.3218750204353,15.3273641142147,15.2816948228159,15.3273942811412,15.2213618889206,15.365714997027
"P55199_ELL",16.8684359080547,16.7923425160012,16.7828502162305,17.3203604211002,17.0586278943354,17.1780696011128,17.1895175350252,17.1149052261959,17.2479150332589
"P55201_BRPF1",18.1909292941453,18.3096114908885,18.2095864580805,18.1104020860378,18.248513212962,18.0821180027561,18.1343063710308,18.1228354192987,18.2925858954848
"P55209_NAP1L1",23.7196185900325,23.4448262563791,23.7256097474105,24.1835292492329,24.0000795907594,24.2283172026096,24.4298734172396,24.1444623514785,24.2134273984943
"P55210_CASP7",21.5586774400337,21.5569309083238,21.5515969678632,21.3631029321446,21.3768079676846,21.3273340486947,21.1633831781984,21.2594785967846,21.3048726802824
"P55212_CASP6",20.2915070967494,20.2385969693121,20.3115281933321,19.5136225310157,19.6237285548881,19.4894784729338,19.8777251610356,19.8720715707237,19.9789548829689
"P55263_ADK",22.2298266479551,22.2533817283703,22.2903461539056,22.5308132725945,22.5977892787745,22.5480802147495,22.4523841328782,22.4688595324145,22.5168978537438
"P55265_ADAR",20.8650822246206,20.8076165868695,20.8499441356307,21.0779421675772,21.1614433762216,21.0854196763255,21.3473647095654,21.4680504300645,21.5377380935716
"P55268_LAMB2",17.8880546052456,18.2205386568048,17.9732907061956,16.4090733222272,16.7625035409994,16.5635797369331,16.8486150259174,16.7594990482134,16.5451196532697
"P55317_FOXA1",17.8148358491422,17.5429952104923,18.0127529141177,17.5542413377957,17.7590058333813,17.7335424828663,17.4293862024597,17.2037789333492,17.4018143222749
"P55327_TPD52",21.9646264999899,22.1304881949821,22.0242703392854,22.1978870507588,22.1538701373176,22.2746510123585,21.7133639341414,21.704309625623,21.6611580710911
"P55345_PRMT2",15.668247472404,15.4309413902307,15.7684935375608,15.7786633084398,NA,16.3905838593871,15.8958735390993,NA,15.7218934509161
"P55347_PKNOX1",17.0965116685487,16.6803319110959,17.3087862360271,16.9153061901304,16.9111153521822,16.8460521407568,17.2762117629766,16.608410335183,16.8706177896336
"P55735_SEC13",21.0669264447104,20.7852364963652,21.0747795847532,21.0865019964473,21.0242918692636,20.9776632723137,20.8091249443629,20.954556554551,20.752707126391
"P55769_SNU13",22.5256079764805,22.4968054114478,22.6152307807172,22.9236977281955,22.6178765110263,22.3596920174332,22.6731540418344,22.4445388132687,22.3012317824677
"P55786_NPEPPS",22.1701479146985,22.2078180951985,22.2231175985935,22.5993964589231,22.6414289113466,22.6126083875866,22.6135754449598,22.6876798762755,22.558674935283
"P55789_GFER",17.6633073694874,17.8336218733381,17.7445850981735,17.829569959941,17.9369551372102,17.7852624530823,17.7967190704992,17.9376706231288,17.7937465442742
"P55795_HNRNPH2",21.3095416001346,21.0492153525377,21.4359827085909,21.0919113563661,21.4470386120142,21.1807877437242,20.8533123289586,21.161809679755,21.015162536634
"P55809_OXCT1",21.9009611515072,21.8281108577235,21.9460167572862,21.3640977121477,21.5376818838173,21.537769351921,20.3485212633771,20.3373808842699,20.5115247859991
"P55854_SUMO3",17.8560440121016,18.0935778114608,17.795206728984,17.7238177696245,17.4322953928618,17.6946245685165,17.790076834159,17.3693174845184,17.5357473122217
"P55884_EIF3B",22.8625442644983,22.741373906333,22.7603665461183,22.9625378983097,22.6508508123375,22.7727773813679,23.4050025047189,23.3011206789754,23.2910740881866
"P55899_FCGRT",NA,NA,NA,15.5216884496481,15.5785698708295,15.5511044643413,NA,NA,NA
"P55957_BID",20.8942105321858,21.0322077793942,20.9354775306359,21.0158819749945,20.8827586464832,21.0730501027729,21.1271806371572,21.0886060832429,20.7028229890158
"P56134_ATP5MF",21.3292516606598,21.3007836773978,21.2700435332929,21.4488148093334,21.4861224518818,21.4415495237426,21.3886966499857,21.3542460020415,21.1046993502803
"P56159_GFRA1",16.6370988180605,16.6819937769537,16.5764996311347,16.7744689370894,16.7117280651059,16.7850186638527,17.8437177695662,17.8649728387647,17.5788728442501
"P56181_NDUFV3",16.7804045950492,16.8481279835176,16.9155018713552,17.0348147035646,17.1291185231103,17.2287808373733,17.0531419228888,17.1520801648211,17.1454763875017
"P56182_RRP1",20.7348356050866,20.490155178856,20.5387970580024,21.1515055717311,20.7552098640673,20.8384865477763,21.578024624625,21.4296248452289,21.1377854568554
"P56192_MARS1",22.1049897973562,22.0704691462066,22.1544944425205,22.2462884163115,22.1798945105385,22.1964777745014,22.4272365750112,22.3412586773796,22.3673449818682
"P56211_ARPP19",22.8236891243521,22.8639766606412,22.9429654678831,18.7589648206044,18.5627236792474,19.3963833764473,18.9889716387013,19.3786745388347,19.1040984772254
"P56270_MAZ",19.7913485092707,19.7680516175739,19.6887477346247,18.2619060612035,18.0564300452162,18.1931707996892,18.7866742538252,18.6646862426177,18.8501161714027
"P56282_POLE2",18.2896977519621,17.9593622110271,18.2650678110533,17.8443262472435,17.7373520925923,17.7901678990336,17.7458452234856,17.5776486407608,17.7651727799466
"P56373_P2RX3",15.1182253495558,15.1102852493174,15.0902590075345,15.3551293308417,NA,NA,15.3859581235796,NA,NA
"P56377_AP1S2",18.1200639042682,17.0951094303991,17.6896688449675,17.1377331317062,17.1622369160173,17.0878914466068,18.311368236074,18.4484080975411,18.4835731356489
"P56378_ATP5MJ",21.5965287540717,21.5732042451191,21.585733447079,21.5134454023262,21.6000980744268,21.4687387947595,21.320059930619,21.3214307692207,21.2379761149056
"P56385_ATP5ME",22.9297157935376,22.9626696836897,22.6708936913951,22.8928503183839,23.0180087884393,22.7351223096952,22.6897744858413,22.6641664258124,22.4334362094846
"P56524_HDAC4",16.925874888237,16.6565847769247,16.8829901151785,16.9127593010694,16.5123999923715,16.6326306666934,16.9360955574746,16.7325393439801,16.6279992032196
"P56537_EIF6",22.1909576486818,22.3914347538806,22.3515957497463,22.3226640789596,22.206896037003,22.1377796468174,22.5010227615264,22.5274139703497,22.2048693162409
"P56545_CTBP2",20.5656931945721,20.5415339172089,20.6278557430244,20.6788719008953,20.7418517328529,20.7050775029406,20.6761424915343,20.6232388783137,20.8048198886982
"P56556_NDUFA6",20.3529112662175,20.5436528796059,20.3516561124016,20.6955501766051,20.8388189521649,20.6781334407994,20.4551912412305,20.7208160874015,20.6363355446022
"P56557_TMEM50B",15.2999196742324,15.5158326471991,15.4045752373475,15.4616139338826,15.2974465561035,15.2806110857215,15.5249955105083,15.4777401399623,NA
"P56589_PEX3",17.8787972653797,17.5001978052868,17.9310424230932,18.0474514112498,18.0924742171727,18.1502035341335,17.6415402931534,17.8249350021501,17.7498170656879
"P56937_HSD17B7",18.4271885306596,18.8475606498836,18.5977079427075,18.4736305056161,18.6492847862216,18.4260033386445,18.2528803850142,18.4129410742957,18.2468971208078
"P56945_BCAR1",18.9943763853827,19.1310872067975,18.967904374168,19.1336632812763,18.9711903046651,19.1088161760006,19.1674760448862,19.2969180464746,19.3127654965122
"P56962_STX17",18.9049716568495,19.0376506608937,18.7938798099713,19.4318597911769,19.3435517383557,19.3854525058188,18.8328858233016,18.7297091119225,18.7429685158954
"P57057_SLC37A1",15.9497823714702,16.5750413814121,15.8731570366706,15.4792801855125,15.6671619306911,15.611091906079,15.7747998098316,15.799645809333,NA
"P57060_RWDD2B",17.5830843335864,17.5483394437295,17.5586061224931,16.7625135446916,16.6514841056913,16.5500692171954,17.3805960870656,17.3052166282102,16.9418972527216
"P57071_PRDM15",15.9028803486805,16.1841677357326,15.8626038523621,15.9075118977887,15.9166683724693,15.8165711483918,16.1800853079803,16.1480387503339,15.7472301490075
"P57076_CFAP298",19.3917329233958,19.2175549129779,19.3520402746034,19.2011498103441,19.2349390050043,19.3037662983897,19.3985636614791,19.4135742690851,19.4091483798436
"P57081_WDR4",18.8743372264528,18.7652086673836,18.8019824464247,19.3339755560641,19.2918361445502,19.2394767639232,19.5027199780391,19.3631464188689,19.1286990510944
