"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Q15047_SETDB1",-0.630945174445916,18.8484534368835,-11.7531001045822,4.45084205957596e-06,9.63928825650374e-05,4.5629736045602
"Q15050_RRS1",-0.0168054857866906,20.3645706066529,-0.127822452515809,0.901860332741762,0.932853774023917,-7.88812028381858
"Q15052_ARHGEF6",-0.0672429547711104,17.929748936219,-0.593012225198397,0.57071515639976,0.669292432992202,-7.70284202559482
"Q15054_POLD3",-0.196724792227247,19.5661453746724,-2.74066326581438,0.0271757850296496,0.0597695272012864,-4.95690024042639
"Q15056_EIF4H",-0.119096232990824,23.5699654969497,-1.55089260912697,0.162255382699916,0.249787031965538,-6.71714055873339
"Q15057_ACAP2",0.305666941538888,18.7829760600097,4.76000568083291,0.00173204249039804,0.00696186374295111,-2.01254060189646
"Q15058_KIF14",0.00960203040772001,18.4265950810528,0.0786003947957828,0.939430476057127,0.959383648070629,-7.89392574908918
"Q15059_BRD3",0.761817626290576,21.6427696053627,7.65528644035165,9.85607003900303e-05,0.000817464616803124,1.17686059013479
"Q15061_WDR43",-0.585922921602084,20.5454246219264,-4.57865725279076,0.00250362893206512,0.00923841209992453,-2.36096500076306
"Q15063_POSTN",-0.15729386757609,15.6808370698891,-0.826972427754142,0.451876389715941,0.559015338852017,-7.02043197843386
"Q15067_ACOX1",0.357756834228031,20.530745100734,7.51174625323792,9.86981200475784e-05,0.000817464616803124,1.14158595476205
"Q15070_OXA1L",-0.0634623465698105,19.7566126931686,-0.698566844437382,0.506020755719502,0.611532940846594,-7.62975767828064
"Q15072_ZNF146",-0.024183065764781,16.325672079034,-0.225277265454128,0.827814132947387,0.87946623768521,-7.86878373767681
"Q15075_EEA1",0.524448108403817,19.6105593213097,8.59910068644316,3.95557870995148e-05,0.000417685072342253,2.15295216617437
"Q15084_PDIA6",-0.787623288267852,24.2312582837929,-16.0996593757988,4.61839868746774e-07,2.29753544947439e-05,7.03196863878829
"Q15102_PAFAH1B3",-0.114018742868481,23.2146550995459,-2.28456569053798,0.0540185892219261,0.103787915205234,-5.65790608814616
"Q15118_PDK1",0.482773927642437,17.1147349553159,3.817749240181,0.0058254681810134,0.017757457832475,-3.32773418787511
"Q15119_PDK2",-0.0925726910951674,17.5069633917302,-0.91796215102491,0.387367243846416,0.495552640429359,-7.4453639770864
"Q15120_PDK3",0.553209862308158,19.3148304648129,8.73744352162311,3.54573928625628e-05,0.000389617362343745,2.2739154767989
"Q15121_PEA15",0.0556212679553312,19.894961969147,1.01832049238154,0.34042383046002,0.448791202598181,-7.34765128923441
"Q15124_PGM5",1.33257783963068,18.6822152196777,15.2924424715388,6.70941838162059e-07,2.68552374489473e-05,6.62838881770258
"Q15125_EBP",0.465787357368203,21.0800530091492,4.07421436261819,0.00453479945803696,0.0146528072090839,-3.02115422081553
"Q15126_PMVK",-0.544348280535946,21.4709279854964,-12.4035559170858,3.03115157171019e-06,7.42729287362963e-05,4.98456329185967
"Q15131_CDK10",-0.0636508745664521,16.1274563055798,-0.524608294791428,0.615087661163435,0.708908048273389,-7.74438608205283
"Q15139_PRKD1",-0.0103888677964026,15.7986667721192,-0.0457907622472916,0.964951628316759,0.976964004566498,-7.60855256501166
"Q15147_PLCB4",-0.183769674731437,19.8778932429847,-2.91385327163361,0.0210172564743948,0.0486087457234289,-4.68968019959553
"Q15149_PLEC",-0.138693822611845,21.4726021339507,-0.944913969201836,0.377320068479641,0.485624902950649,-7.41669457629624
"Q15154_PCM1",-0.0992067525720621,18.4307206516747,-1.28480499649561,0.237331479952294,0.33681068576857,-7.05311950739348
"Q15155_NOMO1",0.0155018272751768,17.0901062428052,0.173432700875829,0.866926302031148,0.908526429730129,-7.88042626284207
"Q15165_PON2",-0.688123382789385,18.5818762575722,-11.1530318542434,6.45606964497523e-06,0.000125270691461512,4.15397633291715
"Q15170_TCEAL1",0.658114460677201,17.3639040266685,7.70160173167923,8.3512515265468e-05,0.000726340363145055,1.32636709074681
"Q15172_PPP2R5A",-0.0783177565834379,19.2900527359339,-1.23748939942193,0.253453338745706,0.355076191077684,-7.10880242167032
"Q15181_PPA1",0.130882126670365,24.2747627616313,2.64626835011855,0.0312961630558046,0.0672643144677049,-5.10265325799283
"Q15185_PTGES3",-0.111159092524591,25.078931737322,-2.48030166577233,0.0401731391146505,0.0819591212301741,-5.35842863181656
"Q15208_STK38",0.472610154712243,18.6297220863702,8.63679516085347,3.83887128708622e-05,0.000408180403195746,2.18607343912834
"Q15223_NECTIN1",-0.736203806674858,18.1446592948286,-8.97040223960112,2.95889017644107e-05,0.000352347591883053,2.47397511300049
"Q15233_NONO",-0.0346691371505834,23.8324906315053,-0.595670217108224,0.56902867852167,0.668237211566539,-7.70113387103149
"Q15257_PTPA",0.423729065791193,22.0085520697682,8.80820301080136,3.35470216104453e-05,0.000380875834702095,2.33515881834514
"Q15262_PTPRK",-0.532413369686687,17.9309455326853,-7.46912978919916,0.000102516977198185,0.000836437876926494,1.0996024981463
"Q15269_PWP2",-0.239978918689591,19.1703394792351,-1.76224181094165,0.120564908074974,0.196868413747622,-6.43003926890475
"Q15276_RABEP1",0.0855967618042577,18.4898314206717,1.53351503932827,0.166414834729893,0.254550102342944,-6.74014297194596
"Q15283_RASA2",-0.265250867653748,17.0447472308002,-2.70568446145528,0.028632867480152,0.0624648158227611,-5.01091594144512
"Q15286_RAB35",0.192987871755399,19.2772455679681,1.84574798910104,0.104844602740774,0.175891373261623,-6.30893881599732
"Q15287_RNPS1",0.03174149644396,22.1672912778306,0.59961406635488,0.566531656954287,0.666322579483712,-7.69858657154415
"Q15291_RBBP5",0.0926100952923363,21.0322215753888,1.92590070654421,0.0929475673394519,0.159897424012176,-6.19311288805378
"Q15293_RCN1",0.420038398281353,21.527873130804,3.66282058390986,0.00793774310256651,0.0226602172540227,-3.61789618386283
"Q15311_RALBP1",0.185277182881201,17.5953302053587,2.16883343379886,0.0643762650309974,0.119426485358402,-5.83302626031545
"Q15326_ZMYND11",0.279288961509181,19.2245618881842,4.16464533249,0.00367054323455129,0.0124440368195763,-2.82926422324909
"Q15334_LLGL1",-0.347068804417042,19.5920850455512,-4.49821760256899,0.0023942940954107,0.00895328868779779,-2.36546710119518
"Q15345_LRRC41",0.268574759969525,18.7724468511839,3.90726532208052,0.00516206970118394,0.0161936901376903,-3.19759130426849
