PG.ProteinGroups,PG.Genes,PG.Organisms,[1] oecf4_20240822_Exp61_LTED_DMSO_rep1_full.raw.PG.Quantity,[2] oecf4_20240822_Exp61_LTED_DMSO_rep2_full.raw.PG.Quantity,[3] oecf4_20240822_Exp61_LTED_DMSO_rep3_full.raw.PG.Quantity,[4] oecf4_20240822_Exp61_LTED_inh_rep1_full.raw.PG.Quantity,[5] oecf4_20240822_Exp61_LTED_inh_rep2_full.raw.PG.Quantity,[6] oecf4_20240822_Exp61_LTED_inh_rep3_full.raw.PG.Quantity,[7] oecf4_20240822_Exp61_TAMR_DMSO_rep1_full.raw.PG.Quantity,[8] oecf4_20240822_Exp61_TAMR_DMSO_rep2_full.raw.PG.Quantity,[9] oecf4_20240822_Exp61_TAMR_DMSO_rep3_full.raw.PG.Quantity,[10] oecf4_20240822_Exp61_TAMR_inh_rep1_full.raw.PG.Quantity,[11] oecf4_20240822_Exp61_TAMR_inh_rep2_full.raw.PG.Quantity,[12] oecf4_20240822_Exp61_TAMR_inh_rep3_full.raw.PG.Quantity,[13] oecf4_20240822_Exp61_WT_DMSO_rep1_full.raw.PG.Quantity,[14] oecf4_20240822_Exp61_WT_DMSO_rep2_full.raw.PG.Quantity,[15] oecf4_20240822_Exp61_WT_DMSO_rep3_full.raw.PG.Quantity,[16] oecf4_20240822_Exp61_WT_inh_rep1_full.raw.PG.Quantity,[17] oecf4_20240822_Exp61_WT_inh_rep2_full.raw.PG.Quantity,[18] oecf4_20240822_Exp61_WT_inh_rep3_full.raw.PG.Quantity
Q96LZ7,RMDN2,Homo sapiens,NaN,NaN,NaN,26844.638671875,NaN,NaN,19979.283203125,NaN,NaN,NaN,NaN,NaN,69539.328125,39525.26953125,31128.078125,45210.56640625,33500.578125,36863.3671875
Q96M27,PRRC1,Homo sapiens,1084401.25,935500.3125,831733.8125,854584.9375,1149766.625,502733.125,1103166.75,1024974.4375,1241678.5,1183997.625,1099980.375,1444239.375,1361152.25,1088446,895963.9375,1433229.25,1095768.5,930400.4375
Q96ME1,FBXL18,Homo sapiens,1552473.25,1644213.25,1342904.125,1496925.25,1867019.875,929909.4375,877970.1875,773097.0625,874620,824012.9375,824242.375,1184905,2051402,1591550.5,1295979.75,1981867.125,1678082.75,1264532.5
Q96ME7,ZNF512,Homo sapiens,1069522.625,901721.8125,733024.625,831149.5625,1209080,545472.75,NaN,NaN,NaN,NaN,115994.6484375,NaN,642035.375,530767.9375,424241.59375,699973.4375,587191.625,394133.65625
Q96MF7,NSMCE2,Homo sapiens,131117.15625,161815.6875,115036.328125,153454.40625,179081.84375,132354.15625,119133.265625,124665.28125,115251.6640625,130593.7734375,121907.6796875,139860.21875,169936.234375,136019.203125,134516.296875,136835.546875,147447.828125,130696
Q96MG7,NSMCE3,Homo sapiens,133812.375,144208.5625,124581.3125,134862.015625,181497.265625,107827.84375,94860.5390625,104505.25,115422.28125,123164.1171875,110083.265625,127725.140625,256391.28125,180506.28125,162778.453125,235747.171875,215672.609375,173395.609375
Q96MG8,PCMTD1,Homo sapiens,NaN,NaN,NaN,NaN,NaN,NaN,8284.6474609375,NaN,13574.919921875,11859.044921875,5357.806640625,12872.876953125,NaN,NaN,NaN,NaN,NaN,NaN
Q96MH2,HEXIM2,Homo sapiens,11467.2041015625,12539.73046875,NaN,7656.33544921875,8710.7236328125,9045.9375,11969.1142578125,8439.69921875,10064.04296875,9306.166015625,9498.9228515625,15388.33203125,8304.4169921875,8677.1474609375,NaN,11462.0927734375,8980.1923828125,8097.71337890625
Q96MH6,TMEM68,Homo sapiens,351699.9375,422885.28125,474749.78125,387850.21875,417408.75,262774.3125,256368.96875,182085.296875,221709.875,245847.78125,204928.1875,326973.75,439178.1875,359803.9375,262581.03125,445517.90625,338707.9375,307585.875
Q96MM7,HS6ST2,Homo sapiens,174652.328125,21328.490234375,116171.4921875,261055.578125,345445.3125,116861.0859375,277270.375,264181.375,292025.71875,302470.96875,266996.8125,354586.40625,119649.4296875,102580.2890625,100651.7421875,105602.28125,123813,NaN
