"","LTED_0","LTED_2","LTED_5","LTED_10","LTED_30","LTED_60","LTED_120","TAMR_0","TAMR_2","TAMR_5","TAMR_10","TAMR_30","TAMR_60","TAMR_120"
"IKBKB",-1.0456761850415,-1.07188955001462,-0.766550552993954,-0.185901794755785,-0.381818669810858,0.815822919318787,-1.42128206260357,-2.07488660438043,-1.5222017465284,-1.50709244686949,-1.59969472568736,-0.123488129528828,-2.47437854307528,-3.73638266601952
"IKBKE",-1.46600859875752,-1.27448347255261,-1.18178858387097,-0.32528242891137,-0.885613207873234,0.313868612675322,-1.64049149325836,-2.69044708437523,-1.80434403490115,-2.05192687286563,-1.6831516060622,-0.377876305220872,-2.79892874051658,-4.23363486564401
"MAP2K1",2.26614758454176,-0.100566450875008,-1.10983180804699,1.08415635538412,3.62404555212978,2.81302133494015,1.69803894491857,-0.562808448415727,-2.04492876827628,-2.42031889510136,0.395820744296676,1.89666833263582,1.15431650488537,0.848574094718152
"MAP2K2",4.12451894887043,0.871862253097507,-0.0399249263918122,3.49371213744506,NA,4.7478666884717,3.5888812554403,2.72256869703908,-0.137075740159336,0.0534259961596848,3.4940648018477,NA,4.4203985778928,4.93675519504769
"MAP3K1",1.60837257785483,1.56874581576056,1.25560167639185,2.67837048551682,3.82155310667911,3.57750812496752,2.1819863044188,0.588566538609918,0.0550234070517335,1.53139638856614,3.58351253969349,4.11194218730545,3.32973934205727,2.64947985433381
"MAP3K7",-0.902957401821512,0.0978723291042639,-0.254966456098685,-0.253887491288091,0.0278239268809873,0.0173194865309353,0.0756093043347347,-1.26233385997633,-1.37131395487085,-1.42604976183297,-1.46730875988826,-1.34747926141861,-1.08680712215213,-0.91139052668797
"MAP3K8",4.03962166434787,2.17273463220641,1.55926640913155,3.9965847519773,5.5475854577453,4.83672443031616,3.81888190289822,3.58887913030442,1.15564146739392,2.08474166052984,4.96889994806067,6.51305745947587,4.98993835963749,4.77682024732439
"MAPK1",0.263004772804329,1.4033725341189,-0.226257332342815,0.638952496819103,1.776030600924,2.86974566583704,2.61168954851595,-2.57141243206835,-2.18937963680863,-2.56892631015422,-3.26567176215887,-0.468220015948618,-1.73350726173437,-1.98547813411232
"MAPK10",-1.2911787136435,-0.697446116209638,-1.10232629961301,-1.28370688539748,-0.269439050297439,-0.153105951209965,-0.0565181293964026,-2.5663410387889,-1.59387602846617,-2.13342291725395,-2.41774223747612,-1.86700942723007,-2.52923927248911,-1.89509333622512
"MAPK11",0.64642103486156,1.30281891544539,1.28411825335901,0.577327209830641,1.89534476258433,1.4460620358289,1.10712012450129,-0.98052683822382,-0.18666872875717,-1.12089620649271,-2.09116314429975,-0.567871930526139,-0.69228877581793,-0.506563819647078
"MAPK12",-1.21565699053687,-1.60029365217245,-0.711818242713986,-0.840613189564515,-0.598996056376007,-1.42002668929359,-1.28265704884762,-1.58054315733925,-1.89453241131767,-2.0778933673541,-1.79952911651769,-1.67182651848996,-1.95737890577374,-1.87090867432033
"MAPK13",-0.133822947212303,-0.181496353563829,-0.0306062609718055,0.213555663625039,0.705022119492145,0.033748157258818,-0.0901700881155524,-2.04720043958314,-1.18128152126062,-1.92464330419251,-1.74527706527128,-1.83786318662865,-2.63759718472367,-1.87463748243924
"MAPK14",-3.76631985799837,-3.30904161880098,-3.02727200179973,-3.61784836811132,-2.5190170711711,-2.68634847085847,-2.8323196502474,-3.35679054199191,-3.23557564396615,-3.5577626203148,-3.28277689146228,-2.69846672066854,-3.35258238301543,-3.22211778392156
"MAPK15",0.918790634850774,0.663013745204203,0.682415609279808,0.86556440629325,1.58354945434951,1.63683034294849,3.15639382306847,-1.55725941412099,-0.646056105152893,-1.38554354622865,-2.04862625481866,-1.6400698680184,-1.62853899324801,-1.88473204340576
"MAPK3",-1.87882448964054,-1.91840495843852,-3.22715247731041,-2.33086284732166,-1.94326655220081,-0.831786668439711,-0.817284718460915,-3.33410536276197,-2.5447970741559,-3.22980081848073,-3.37833340916175,-2.0709901638027,-2.89186732037522,-2.95225683116558
"MAPK4",0.933081892249909,0.806008727430171,0.727652907206946,0.902977558009475,1.61022903161072,1.49331582089966,3.27865584713274,-1.92821411384308,-1.16869545195791,-1.87065336117047,-2.20383662679668,-1.7609685620255,-1.62853899324801,-1.88473204340576
"MAPK6",0.137681183131394,0.297377089849805,0.167715807297391,0.453977006790277,1.2628007786491,0.851693301425895,2.03389008392252,-3.17085076793542,-2.20956489944474,-2.65407486985016,-2.7256071949704,-2.54389712598505,-2.0100764340908,-2.48532849216491
"MAPK7",-0.388269316476451,-0.757293566166869,-0.434549305796837,-0.221574561831416,0.620656748191895,0.217313236457666,1.48994635287199,-2.1528424313091,-1.33185665479755,-2.09217478226533,-1.87851680601807,-1.23707043979309,-1.55481099180899,-1.45955678705354
"MAPK8",-4.12643317742936,-2.96585786368613,-3.86239435595235,-3.73401414300606,-2.1417270540144,-1.46772633965681,-2.13593524032904,-4.30507839665372,-3.37114631737589,-3.97206999071531,-4.6375452237902,-3.30708437676067,-3.4665581697841,-3.76993676076892
"MAPK9",-1.97565421073826,-0.985472498680242,-1.16626170089435,-1.44583654801811,-0.153259768334898,0.046729822572715,0.133823582231402,-3.56020963955292,-2.64658786948614,-3.21393900312632,-3.87918794243248,-2.79111223493342,-2.71295251587996,-2.42739673379845
"MAPKAPK2",-1.53843293362571,-2.4494183001608,-1.93267251840207,-2.02549649612581,-0.326015313800575,-0.188299350890938,-1.48158460807556,2.49033990727694,2.85231327345136,3.39184488044472,2.53249099725974,3.33536530734403,3.00011299695038,2.79365802071852
"MAPKAPK5",-0.166321083525233,0.224063581464045,0.211744513552191,0.133570498134338,0.459311371479065,0.183276708911645,0.162225011514472,-0.587178205103206,-0.610045325704161,-0.916465073419516,-1.25654765525744,-0.43279228923711,-0.556732182204787,-0.911674019371768
"MARK1",1.19366460645852,0.77610458783609,0.575084342320398,0.146685260466307,1.07219704584608,0.532877058990276,1.46188084494327,-4.08192454538939,-4.49660134895739,NA,NA,-4.66170466802549,-4.28744327003438,-3.21628836866227
